Year,Category,Pollution
1875,Somalia,1.12
1876,Somalia,1.16
1877,Somalia,1.19
1878,Somalia,1.22
1879,Somalia,1.25
1880,Somalia,1.27
1881,Somalia,1.29
1882,Somalia,1.3
1883,Somalia,1.32
1884,Somalia,1.33
1885,Somalia,1.35
1886,Somalia,1.36
1887,Somalia,1.38
1888,Somalia,1.39
1889,Somalia,1.4
1890,Somalia,1.46
1891,Somalia,1.48
1892,Somalia,1.5
1893,Somalia,1.53
1894,Somalia,1.55
1895,Somalia,1.58
1896,Somalia,1.6
1897,Somalia,1.63
1898,Somalia,1.66
1899,Somalia,1.69
1900,Somalia,1.72
1901,Somalia,1.74
1902,Somalia,1.77
1903,Somalia,1.8
1904,Somalia,1.83
1905,Somalia,1.86
1906,Somalia,1.89
1907,Somalia,1.93
1908,Somalia,1.97
1909,Somalia,2.02
1910,Somalia,2.07
1911,Somalia,2.15
1912,Somalia,2.27
1913,Somalia,2.43
1914,Somalia,2.61
1915,Somalia,2.81
1916,Somalia,3.03
1917,Somalia,3.25
1918,Somalia,3.46
1919,Somalia,3.67
1920,Somalia,3.85
1921,Somalia,4.04
1922,Somalia,4.25
1923,Somalia,4.47
1924,Somalia,4.69
1925,Somalia,4.91
1926,Somalia,5.11
1927,Somalia,5.28
1928,Somalia,5.42
1929,Somalia,5.51
1930,Somalia,5.55
1931,Somalia,5.53
1932,Somalia,5.48
1933,Somalia,5.4
1934,Somalia,5.31
1935,Somalia,5.2
1936,Somalia,5.1
1937,Somalia,5
1938,Somalia,4.93
1939,Somalia,4.88
1940,Somalia,4.87
1941,Somalia,5.28
1942,Somalia,6.36
1943,Somalia,7.96
1944,Somalia,9.89
1945,Somalia,12
1946,Somalia,14.1
1947,Somalia,16
1948,Somalia,17.6
1949,Somalia,18.7
1950,Somalia,19.2
1951,Somalia,19
1952,Somalia,18.5
1953,Somalia,17.7
1954,Somalia,16.8
1955,Somalia,15.8
1956,Somalia,14.8
1957,Somalia,13.8
1958,Somalia,13.1
1959,Somalia,12.6
1960,Somalia,12.4
1961,Somalia,13.4
1962,Somalia,13.9
1963,Somalia,14.6
1964,Somalia,15.3
1965,Somalia,15.8
1966,Somalia,16.4
1967,Somalia,17.3
1968,Somalia,17.9
1969,Somalia,18.3
1970,Somalia,18.8
1971,Somalia,18.6
1972,Somalia,19
1973,Somalia,18.9
1974,Somalia,18.6
1975,Somalia,20.2
1976,Somalia,20.1
1977,Somalia,21.8
1978,Somalia,23.2
1979,Somalia,23
1980,Somalia,23.3
1981,Somalia,23.6
1982,Somalia,24.7
1983,Somalia,24.1
1984,Somalia,24.3
1985,Somalia,25.2
1986,Somalia,25.5
1987,Somalia,26.6
1988,Somalia,27.7
1989,Somalia,27.5
1990,Somalia,25.4
1991,Somalia,22.5
1992,Somalia,20.5
1993,Somalia,22.4
1994,Somalia,24.3
1995,Somalia,24.9
1996,Somalia,25.5
1997,Somalia,26
1998,Somalia,26.1
1999,Somalia,26.5
2000,Somalia,26.8
2001,Somalia,27.6
2002,Somalia,28
2003,Somalia,28.4
2004,Somalia,28.7
2005,Somalia,29.3
2006,Somalia,28.2
2007,Somalia,27
2008,Somalia,27.2
2009,Somalia,27.4
2010,Somalia,27.6
2011,Somalia,28.1
2012,Somalia,28.4
2013,Somalia,28.5
2014,Somalia,28.9
2015,Somalia,29.1
2016,Somalia,29.1
2017,Somalia,29
2018,Somalia,29.2
